Epoch 1/100, Loss: 0.7160, Accuracy: 0.7234
Epoch 2/100, Loss: 0.4571, Accuracy: 0.8542
Epoch 3/100, Loss: 0.3550, Accuracy: 0.8871
Epoch 4/100, Loss: 0.3108, Accuracy: 0.8946
Epoch 5/100, Loss: 0.2894, Accuracy: 0.9014
Epoch 6/100, Loss: 0.2694, Accuracy: 0.9114
Epoch 7/100, Loss: 0.2468, Accuracy: 0.9121
Epoch 8/100, Loss: 0.2274, Accuracy: 0.9182
Epoch 9/100, Loss: 0.2175, Accuracy: 0.9230
Epoch 10/100, Loss: 0.2114, Accuracy: 0.9285
Epoch 11/100, Loss: 0.2006, Accuracy: 0.9304
Epoch 12/100, Loss: 0.1952, Accuracy: 0.9318
Epoch 13/100, Loss: 0.2023, Accuracy: 0.9347
Epoch 14/100, Loss: 0.1862, Accuracy: 0.9360
Epoch 15/100, Loss: 0.1866, Accuracy: 0.9360
Epoch 16/100, Loss: 0.1817, Accuracy: 0.9357
Epoch 17/100, Loss: 0.1774, Accuracy: 0.9392
Epoch 18/100, Loss: 0.1695, Accuracy: 0.9401
Epoch 19/100, Loss: 0.1705, Accuracy: 0.9403
Epoch 20/100, Loss: 0.1788, Accuracy: 0.9390
